*** Temperature stable /K : 2.919500000E+2
--- > R0 : 6.573348E+1	6.573373E+1	6.573478E+1	6.573478E+1	6.573497E+1	6.573476E+1	6.573368E+1	6.573368E+1	
time /sec  	temp /K    	current /mA	freq /Hz   	R0 /Ohms   	esd R0     	V3X /V_rms 	esd V3X    	V3Y /V_rms 	esd V3Y    	Data_Valid?
1.405838E+2	2.919600E+2	1.781996E+1	1.200000E+1	6.573424E+1	6.383218E-4	1.214045E-4	3.300389E-7	-7.420225E-5	2.155617E-7	1.000000E+0	
1.883403E+2	2.919600E+2	1.781996E+1	9.573570E+0	6.573424E+1	6.383218E-4	1.341654E-4	9.921702E-7	-7.706997E-5	2.367731E-7	1.000000E+0	
2.322494E+2	2.919600E+2	1.781996E+1	7.637770E+0	6.573424E+1	6.383218E-4	1.462102E-4	9.855546E-7	-8.137268E-5	1.400348E-6	1.000000E+0	
2.807148E+2	2.919600E+2	1.781996E+1	6.093390E+0	6.573424E+1	6.383218E-4	1.578670E-4	1.648053E-7	-8.227886E-5	3.997084E-7	1.000000E+0	
3.324409E+2	2.919600E+2	1.781996E+1	4.861290E+0	6.573424E+1	6.383218E-4	1.697659E-4	1.650031E-7	-8.416198E-5	1.336464E-7	1.000000E+0	
3.888531E+2	2.919600E+2	1.781996E+1	3.878330E+0	6.573424E+1	6.383218E-4	1.828819E-4	1.284443E-7	-8.598829E-5	9.732312E-8	1.000000E+0	
4.547692E+2	2.919600E+2	1.781996E+1	3.094120E+0	6.573424E+1	6.383218E-4	1.962140E-4	1.330507E-7	-8.855381E-5	8.008765E-8	1.000000E+0	
5.266882E+2	2.919600E+2	1.781996E+1	2.468480E+0	6.573424E+1	6.383218E-4	2.085847E-4	7.793026E-8	-9.048036E-5	1.338324E-8	1.000000E+0	
6.090829E+2	2.919600E+2	1.781996E+1	1.969350E+0	6.573424E+1	6.383218E-4	2.230913E-4	8.198563E-8	-9.083548E-5	3.749435E-8	1.000000E+0	
7.019454E+2	2.919600E+2	1.781996E+1	1.571140E+0	6.573424E+1	6.383218E-4	2.360747E-4	7.764400E-8	-9.262636E-5	7.479580E-8	1.000000E+0	
8.119837E+2	2.919600E+2	1.781996E+1	1.253450E+0	6.573424E+1	6.383218E-4	2.498849E-4	6.767185E-8	-9.281031E-5	6.969866E-8	1.000000E+0	
8.506729E+2	2.919600E+2	1.781996E+1	1.000000E+0	6.573424E+1	6.383218E-4	2.555627E-4	1.154954E-6	-8.505620E-5	1.407677E-6	1.000000E+0	

*** Temperature stable /K : 2.940300000E+2
--- > R0 : 6.589558E+1	6.589558E+1	6.590341E+1	6.592699E+1	6.592081E+1	6.592081E+1	6.590511E+1	6.589747E+1	
time /sec  	temp /K    	current /mA	freq /Hz   	R0 /Ohms   	esd R0     	V3X /V_rms 	esd V3X    	V3Y /V_rms 	esd V3Y    	Data_Valid?
1.407844E+3	2.940300E+2	1.781996E+1	1.200000E+1	6.590822E+1	1.274699E-2	1.218560E-4	3.233653E-7	-7.366150E-5	1.701395E-7	1.000000E+0	
1.448738E+3	2.940300E+2	1.781996E+1	9.573570E+0	6.590822E+1	1.274699E-2	1.340259E-4	1.527234E-7	-7.620783E-5	3.756078E-7	1.000000E+0	
1.492729E+3	2.940300E+2	1.781996E+1	7.637770E+0	6.590822E+1	1.274699E-2	1.448206E-4	4.609483E-7	-8.063077E-5	5.932504E-7	1.000000E+0	
1.539931E+3	2.940300E+2	1.781996E+1	6.093390E+0	6.590822E+1	1.274699E-2	1.570915E-4	8.242252E-8	-8.276010E-5	3.788102E-7	1.000000E+0	
1.591665E+3	2.940300E+2	1.781996E+1	4.861290E+0	6.590822E+1	1.274699E-2	1.654918E-4	5.195807E-7	-7.934912E-5	4.656030E-7	1.000000E+0	
1.648097E+3	2.940300E+2	1.781996E+1	3.878330E+0	6.590822E+1	1.274699E-2	1.819786E-4	1.793165E-7	-8.731862E-5	5.828231E-8	1.000000E+0	
1.711059E+3	2.940300E+2	1.781996E+1	3.094120E+0	6.590822E+1	1.274699E-2	1.955751E-4	2.195367E-7	-8.822628E-5	9.649725E-8	1.000000E+0	
1.782745E+3	2.940300E+2	1.781996E+1	2.468480E+0	6.590822E+1	1.274699E-2	2.092686E-4	2.342251E-8	-8.965960E-5	5.021871E-8	1.000000E+0	
1.863216E+3	2.940300E+2	1.781996E+1	1.969350E+0	6.590822E+1	1.274699E-2	2.219412E-4	1.567730E-8	-9.164775E-5	1.412807E-8	1.000000E+0	
1.957223E+3	2.940300E+2	1.781996E+1	1.571140E+0	6.590822E+1	1.274699E-2	2.357448E-4	1.032105E-7	-9.238561E-5	8.890915E-8	1.000000E+0	
2.066544E+3	2.940300E+2	1.781996E+1	1.253450E+0	6.590822E+1	1.274699E-2	2.486045E-4	5.182651E-7	-1.072348E-4	1.834456E-6	1.000000E+0	
2.103967E+3	2.940300E+2	1.781996E+1	1.000000E+0	6.590822E+1	1.274699E-2	2.390151E-4	2.768803E-6	-1.100132E-4	0.000000E+0	1.000000E+0	

*** Temperature stable /K : 2.960900000E+2
--- > R0 : 6.589833E+1	6.589828E+1	6.589845E+1	6.589845E+1	6.589870E+1	6.589896E+1	6.589903E+1	6.589903E+1	
time /sec  	temp /K    	current /mA	freq /Hz   	R0 /Ohms   	esd R0     	V3X /V_rms 	esd V3X    	V3Y /V_rms 	esd V3Y    	Data_Valid?
2.800091E+4	2.960900E+2	1.781996E+1	1.200000E+1	6.589866E+1	3.182460E-4	1.211059E-4	7.020365E-8	-7.352028E-5	2.675836E-8	1.000000E+0	
2.805626E+4	2.960900E+2	1.781996E+1	9.573570E+0	6.589866E+1	3.182460E-4	1.325879E-4	8.738036E-8	-7.697202E-5	1.565436E-7	1.000000E+0	
2.811187E+4	2.960900E+2	1.781996E+1	7.637770E+0	6.589866E+1	3.182460E-4	1.437724E-4	3.299028E-8	-7.980763E-5	1.433116E-7	1.000000E+0	
2.817556E+4	2.960900E+2	1.781996E+1	6.093390E+0	6.589866E+1	3.182460E-4	1.563242E-4	1.331944E-8	-8.232200E-5	4.840510E-8	1.000000E+0	
2.824667E+4	2.960900E+2	1.781996E+1	4.861290E+0	6.589866E+1	3.182460E-4	1.699509E-4	5.766936E-8	-8.448886E-5	7.937883E-8	1.000000E+0	
2.832659E+4	2.960900E+2	1.781996E+1	3.878330E+0	6.589866E+1	3.182460E-4	1.823886E-4	7.901859E-9	-8.673487E-5	4.053712E-9	1.000000E+0	
2.841883E+4	2.960900E+2	1.781996E+1	3.094120E+0	6.589866E+1	3.182460E-4	1.963992E-4	3.330795E-8	-8.918566E-5	4.216269E-9	1.000000E+0	
2.852765E+4	2.960900E+2	1.781996E+1	2.468480E+0	6.589866E+1	3.182460E-4	2.084382E-4	2.609055E-8	-8.998846E-5	5.908256E-8	1.000000E+0	
2.865501E+4	2.960900E+2	1.781996E+1	1.969350E+0	6.589866E+1	3.182460E-4	2.228603E-4	9.349987E-9	-9.065617E-5	4.921956E-8	1.000000E+0	
2.880649E+4	2.960900E+2	1.781996E+1	1.571140E+0	6.589866E+1	3.182460E-4	2.361674E-4	2.138375E-8	-9.284559E-5	3.510613E-8	1.000000E+0	
2.898794E+4	2.960900E+2	1.781996E+1	1.253450E+0	6.589866E+1	3.182460E-4	2.498619E-4	3.680702E-8	-9.288404E-5	2.015288E-8	1.000000E+0	
2.903348E+4	2.960900E+2	1.781996E+1	1.000000E+0	6.589866E+1	3.182460E-4	2.409419E-4	2.220433E-6	-1.097838E-4	7.665365E-7	1.000000E+0
